DMM
6.25
6.25
6.25
7.93
7.94
6.66
6.93
6.69
8.04
15.41
9.23
9.09
11.7
9.8
10.11
13.4
11.72
10.86
11.06
10.93
11.62
17.32
14.56
11.64
11.64
12.04
14.28
17.64
16.88
14.16
13.4
13.92
15.64
20.64
23.04
23.04
21.48
20.88
21.36
24.36
20.04
17.52
14.88
16.2
20.8
24.72
20.3
18
